geneSymbol,log2FC,p_value,FDR,type,young_promoter_methylation,young_CpG_count,aged_promoter_methylation,aged_CpG_count,promoter_methylation_change,multiomics_pattern
Kcnb2,2.5599194680448103,1.2261641866129066e-09,2.340256966569394e-05,UP,0.963,9.0,1.0,7,0.03700000000000003,RNA_UP_METHYLATION_UP
Clu,2.22949841323514,7.872650197067838e-10,2.340256966569394e-05,UP,0.8421052631578947,19.0,0.7637857142857143,28,-0.0783195488721804,RNA_UP_METHYLATION_DOWN
Clec1a,1.405403824534151,3.000283477837915e-09,3.8175606972009634e-05,UP,0.6923076923076923,13.0,0.4762142857142857,14,-0.2160934065934066,RNA_UP_METHYLATION_DOWN
Snap23,0.2795138169848847,5.658958569943568e-09,5.400344163297147e-05,UP,0.2353703703703704,27.0,0.11341176470588235,34,-0.12195860566448805,RNA_UP_METHYLATION_DOWN
Cdk1,-0.444519261293296,9.74398490181734e-09,7.43894783344343e-05,DN,0.25,18.0,0.2222222222222222,27,-0.02777777777777779,RNA_DOWN_METHYLATION_DOWN
Exoc3l2,1.1057159099457872,1.680457429313876e-08,0.0001069107016529,UP,0.8367916666666666,24.0,0.9242424242424242,33,0.0874507575757576,RNA_UP_METHYLATION_UP
Ptprk,1.9473000627846333,2.0565082095907184e-08,0.0001121443305378,UP,0.42794117647058827,17.0,0.2125,32,-0.21544117647058827,RNA_UP_METHYLATION_DOWN
Prom2,1.6499339266514157,3.266187214547408e-08,0.0001246768983537,UP,0.6875,20.0,0.9444444444444444,18,0.2569444444444444,RNA_UP_METHYLATION_UP
Syt15,2.0234494788077577,2.8193440072409092e-08,0.0001246768983537,UP,0.6697096774193548,31.0,0.8549259259259259,27,0.18521624850657104,RNA_UP_METHYLATION_UP
Gm16548,2.15882685218002,3.2193446139825525e-08,0.0001246768983537,UP,0.6852222222222222,9.0,0.7770625,16,0.09184027777777781,RNA_UP_METHYLATION_UP
Tacr1,2.185434336145053,4.51479651988204e-08,0.0001325683175053,UP,0.2777777777777778,18.0,0.14016666666666666,36,-0.13761111111111113,RNA_UP_METHYLATION_DOWN
Gprc5c,2.294924874153285,4.4430994234297096e-08,0.0001325683175053,UP,0.20721621621621622,37.0,0.0,35,-0.20721621621621622,RNA_UP_METHYLATION_DOWN
Fam169a,2.3296637080483773,4.386199225392897e-08,0.0001325683175053,UP,0.9078947368421053,19.0,0.8979166666666666,24,-0.009978070175438725,RNA_UP_METHYLATION_DOWN
Gabra4,2.7849638694495917,8.39067927472998e-08,0.0002135260061833,UP,0.6363636363636364,11.0,0.2631578947368421,19,-0.37320574162679426,RNA_UP_METHYLATION_DOWN
Trpc6,0.5379631698228398,7.990692691742195e-08,0.0002135260061833,UP,0.10869565217391304,23.0,0.1506,20,0.04190434782608697,RNA_UP_METHYLATION_UP
2310044G17Rik,0.3096998166733478,9.278385507778308e-08,0.0002213590822518,UP,0.01958823529411765,17.0,0.07954545454545454,22,0.059957219251336895,RNA_UP_METHYLATION_UP
Trpc1,2.471690687140594,1.0445624749034485e-07,0.0002345472870118,UP,0.4889411764705883,34.0,0.5436774193548387,31,0.054736242884250386,RNA_UP_METHYLATION_UP
Pcdhb16,1.263973307819921,1.1635164979122195e-07,0.0002467430653239,UP,0.625,8.0,0.6416999999999999,10,0.016699999999999937,RNA_UP_METHYLATION_UP
Ripk4,2.4919179874141375,1.2383752332369413e-07,0.0002487961021216,UP,0.35296153846153844,26.0,0.19046428571428572,28,-0.1624972527472527,RNA_UP_METHYLATION_DOWN
Aldh3a1,2.0592706679917097,1.346223061507808e-07,0.000252236963777,UP,0.58336,25.0,0.3397307692307692,26,-0.24362923076923076,RNA_UP_METHYLATION_DOWN
Cysltr2,1.4445586695175523,1.3917980735545046e-07,0.000252236963777,UP,0.5571428571428572,14.0,0.35681250000000003,16,-0.20033035714285713,RNA_UP_METHYLATION_DOWN
Twf1,0.3250807714501915,1.4537391813621304e-07,0.000252236963777,UP,0.5555555555555556,18.0,0.18548387096774194,31,-0.37007168458781364,RNA_UP_METHYLATION_DOWN
Ehd3,1.6242531620419838,1.5396108989488098e-07,0.000255521857542,UP,0.5031724137931034,29.0,0.42116129032258065,31,-0.08201112347052275,RNA_UP_METHYLATION_DOWN
Itga9,-1.2777592709191974,1.6806789431335534e-07,0.0002673119859053,DN,0.82,25.0,0.7391304347826086,23,-0.0808695652173913,RNA_DOWN_METHYLATION_DOWN
HAG_026577,-1.0676223347155225,1.757993284897865e-07,0.0002684244786844,DN,0.8666666666666667,15.0,0.9583333333333334,18,0.09166666666666667,RNA_DOWN_METHYLATION_UP
Art4,0.7524648443724962,1.9657392032499593e-07,0.0002733662075088,UP,0.35257692307692307,26.0,0.2948275862068966,29,-0.05774933687002648,RNA_UP_METHYLATION_DOWN
Dnm3,2.275780141043278,2.0595458890603685e-07,0.0002733662075088,UP,0.738107142857143,28.0,0.9849473684210526,19,0.2468402255639096,RNA_UP_METHYLATION_UP
Fut8,0.4911328043437422,2.076815471486287e-07,0.0002733662075088,UP,0.4116363636363637,22.0,0.43396296296296294,27,0.02232659932659925,RNA_UP_METHYLATION_UP
P2ry14,-1.4879084277359111,1.990488985289516e-07,0.0002733662075088,DN,0.5515,16.0,0.6411764705882353,17,0.08967647058823536,RNA_DOWN_METHYLATION_UP
HNG_013436,0.3059923753140003,2.150763204419725e-07,0.0002736631101303,UP,0.8200000000000001,15.0,0.85,10,0.029999999999999916,RNA_UP_METHYLATION_UP
Fhl1,1.0347192497228974,2.5157727600799493e-07,0.0003097808961218,UP,0.125,36.0,0.10952380952380951,42,-0.01547619047619049,RNA_UP_METHYLATION_DOWN
Darc,1.289822072386802,2.5985272935135037e-07,0.0003099718245249,UP,0.7443684210526316,19.0,0.6274705882352941,17,-0.11689783281733745,RNA_UP_METHYLATION_DOWN
Alcam,1.3907344905746468,2.686249320521325e-07,0.0003107257850392,UP,0.03265714285714286,35.0,0.06312121212121213,33,0.030464069264069277,RNA_UP_METHYLATION_UP
HAG_025641,1.10580065066895,2.907728405753733e-07,0.0003264523785424,UP,0.9375,22.0,0.91665,20,-0.020850000000000035,RNA_UP_METHYLATION_DOWN
Ctse,-0.7439736292033929,3.233011128182358e-07,0.0003454137172715,DN,0.8181818181818182,11.0,0.7727272727272727,11,-0.045454545454545525,RNA_DOWN_METHYLATION_DOWN
