geneSymbol,log2FC,p_value,FDR,type
Kcnb2,2.5599194680448103,1.2261641866129068e-09,2.340256966569394e-05,UP
Clu,2.22949841323514,7.872650197067838e-10,2.340256966569394e-05,UP
Clec1a,1.405403824534151,3.000283477837915e-09,3.8175606972009634e-05,UP
Snap23,0.27951381698488476,5.658958569943568e-09,5.400344163297147e-05,UP
Cdk1,-0.444519261293296,9.74398490181734e-09,7.43894783344343e-05,DN
Exoc3l2,1.1057159099457872,1.680457429313876e-08,0.0001069107016529488,UP
Ptprk,1.9473000627846333,2.0565082095907184e-08,0.0001121443305378527,UP
Prom2,1.6499339266514155,3.266187214547408e-08,0.00012467689835370365,UP
Syt15,2.0234494788077577,2.8193440072409092e-08,0.00012467689835370365,UP
Gm16548,2.15882685218002,3.2193446139825525e-08,0.00012467689835370365,UP
Tacr1,2.185434336145053,4.51479651988204e-08,0.00013256831750533632,UP
Gprc5c,2.294924874153285,4.443099423429709e-08,0.00013256831750533632,UP
Fam169a,2.3296637080483773,4.386199225392897e-08,0.00013256831750533632,UP
Gabra4,2.7849638694495917,8.39067927472998e-08,0.00021352600618332855,UP
Trpc6,0.5379631698228398,7.990692691742194e-08,0.00021352600618332855,UP
2310044G17Rik,0.3096998166733478,9.278385507778308e-08,0.000221359082251821,UP
Trpc1,2.471690687140594,1.0445624749034485e-07,0.00023454728701184963,UP
Pcdhb16,1.2639733078199207,1.1635164979122194e-07,0.000246743065323918,UP
Ripk4,2.4919179874141375,1.2383752332369413e-07,0.00024879610212168694,UP
Aldh3a1,2.0592706679917097,1.346223061507808e-07,0.0002522369637770693,UP
Cysltr2,1.4445586695175523,1.3917980735545046e-07,0.0002522369637770693,UP
Twf1,0.32508077145019154,1.4537391813621304e-07,0.0002522369637770693,UP
Ehd3,1.6242531620419838,1.5396108989488095e-07,0.00025552185754206067,UP
Itga9,-1.2777592709191974,1.6806789431335532e-07,0.0002673119859053916,DN
HAG_026577,-1.0676223347155223,1.757993284897865e-07,0.00026842447868448524,DN
Art4,0.7524648443724962,1.9657392032499593e-07,0.00027336620750887774,UP
Dnm3,2.275780141043278,2.0595458890603685e-07,0.00027336620750887774,UP
Fut8,0.4911328043437422,2.076815471486287e-07,0.00027336620750887774,UP
P2ry14,-1.4879084277359111,1.9904889852895159e-07,0.00027336620750887774,DN
HNG_013436,0.3059923753140003,2.1507632044197246e-07,0.00027366311013036576,UP
Fhl1,1.0347192497228974,2.5157727600799493e-07,0.0003097808961218446,UP
Darc,1.289822072386802,2.5985272935135037e-07,0.00030997182452499204,UP
Alcam,1.3907344905746468,2.686249320521325e-07,0.0003107257850392122,UP
HAG_025641,1.10580065066895,2.907728405753733e-07,0.0003264523785424456,UP
Ctse,-0.7439736292033929,3.233011128182358e-07,0.00034541371727155794,DN
Arhgef26,1.1912568757892652,3.257595573136353e-07,0.00034541371727155794,UP
HAG_008922,0.31742878326971713,3.4788830411850474e-07,0.0003589079012111233,UP
Aurkb,-0.5072249605950656,3.7030626276415155e-07,0.00036244437595469724,DN
Mab21l2,3.250275540983594,3.6316794461162105e-07,0.00036244437595469724,UP
Apol10b,1.7855397692912836,4.0857947727028756e-07,0.0003899073951590354,UP
HAG_021866,1.514102753901491,4.4106415452406547e-07,0.0004106414855242104,UP
Cyp4b1,1.132187003121232,4.6234464514023775e-07,0.0004202052331974561,UP
Itgb5,-1.3575280341880136,4.899634448981695e-07,0.00043495080508495175,DN
Bmpr1a,2.3254183169211107,5.11792457087889e-07,0.0004427360545349179,UP
HNG_003201,1.2384723380144076,5.219302749154173e-07,0.0004427360545349179,UP
Gstm2,2.2699349124640507,5.450423688442482e-07,0.00045229037616353575,UP
BC058988,0.7072172959944538,5.971859973187923e-07,0.0004835525663048003,UP
Osmr,2.9824115022996702,6.080510107573723e-07,0.0004835525663048003,UP
4931406C07Rik,0.4412294233651153,6.736175048493198e-07,0.0005247617835736374,UP
Rasef,2.2004310386057426,7.152143733404871e-07,0.0005460232611830615,UP
Itgb3,1.3234320246756628,8.073540949407074e-07,0.0005814777455108807,UP
4930528F23Rik,1.1443442269783217,8.04242845535767e-07,0.0005814777455108807,UP
Rgs7bp,-2.696243742369644,7.957018422833777e-07,0.0005814777455108807,DN
Gm9199,1.545483038783611,1.030946326402286e-06,0.0005944073082917906,UP
Mmp2,-1.364830401696477,1.0194538816323629e-06,0.0005944073082917906,DN
C1rl,0.5672194714693877,1.0433115806232309e-06,0.0005944073082917906,UP
Ampd3,0.8195451083518703,9.19516994884189e-07,0.0005944073082917906,UP
Zswim5,1.3780846896269514,8.960723966071504e-07,0.0005944073082917906,UP
HAG_036831,0.8043136297876465,1.0228929984886476e-06,0.0005944073082917906,UP
1810019J16Rik,1.472124122455845,1.007375924831445e-06,0.0005944073082917906,UP
Muc1,1.8598493542678591,9.495273100597455e-07,0.0005944073082917906,UP
Agtr1a,2.0447866062423934,1.004985747672825e-06,0.0005944073082917906,UP
Gm10384,-1.361025282348781,9.185180160609887e-07,0.0005944073082917906,DN
Kcnk12,-1.3888061127834248,8.741482207417393e-07,0.0005944073082917906,DN
Hoxb8,2.304165797085896,8.684250853991457e-07,0.0005944073082917906,UP
Plscr2,2.6965375786748824,9.270455866828163e-07,0.0005944073082917906,UP
5430427O19Rik,-0.8557279320245819,9.99086806898253e-07,0.0005944073082917906,DN
HNG_033743,-1.3441167406712309,1.0954628912114945e-06,0.0006149413159312524,DN
Ccnb2,-0.45209120889540255,1.1389114159900682e-06,0.0006300656024807665,DN
Slc6a8,0.8603999741791766,1.1868171229905168e-06,0.0006471883316970572,UP
Plcl1,1.1658638636168641,1.2131325564426057e-06,0.0006522210696412273,UP
2610034B18Rik,1.2756207950298668,1.28295317216781e-06,0.0006801790067776338,UP
Rarb,1.313972370708484,1.3074631736498033e-06,0.0006836778666378122,UP
Vldlr,0.9492047313606662,1.3514532064753256e-06,0.000697130699967245,UP
Jam2,1.6196696861008641,1.3946760620105963e-06,0.0007098343285209131,UP
Adck3,0.6836209328290765,1.4500658663130405e-06,0.000728314661169755,UP
1200009I06Rik,1.8909863578202355,1.5208617207351905e-06,0.0007344686994976164,UP
Ect2,-0.8285516958660422,1.5263335266296711e-06,0.0007344686994976164,DN
Wasf3,0.7811910918541962,1.5392826144768237e-06,0.0007344686994976164,UP
Rbl1,-0.27611919454409684,1.5106679794610515e-06,0.0007344686994976164,DN
Sfpi1,-0.4291365410486421,1.667170027561283e-06,0.0007611748497771857,DN
Lhfpl2,-0.572412176967763,1.6750153877523733e-06,0.0007611748497771857,DN
Sdpr,1.385304315857537,1.6484731885023804e-06,0.0007611748497771857,UP
H2afy,-0.3448677669593465,1.641542896129574e-06,0.0007611748497771857,DN
Nlrp10,-1.1482103327784063,1.797846314095589e-06,0.0007888205689845612,DN
